1;76
1;8
1;2
1;82
1;29
2;74
2;13
2;9
2;39
2;4
2;29
3;1
3;5
3;88
3;4
3;13
3;12
4;1
4;13
4;8
4;39
5;1
5;13
5;14
5;4
5;12
5;8
5;2
5;82
6;13
6;9
6;4
6;8
6;87
6;39
7;14
7;4
7;5
7;13
7;3
8;1
8;13
8;4
8;86
9;3
9;14
9;12
9;39
10;5
10;12
10;1
10;13
10;4
10;3
11;4
11;38
11;3
12;1
12;12
12;4
12;13
12;3
12;14
12;39
13;37
13;78
13;13
13;4
14;1
14;13
14;5
15;5
15;12
15;13
15;4
15;39
16;13
16;4
17;4
17;13
17;9
17;5
17;12
17;1
18;13
18;4
18;5
18;12
18;39
18;3
18;1
18;8
19;1
19;13
19;4
19;5
19;89
19;37
20;1
20;13
20;5
20;4
20;82
20;39
20;78
21;3
21;13
21;9
21;21
21;65
21;12
21;39
21;5
22;1
22;13
22;4
22;9
22;8
22;29
23;1
23;13
23;4
23;39
24;5
24;13
24;12
24;4
24;8
24;74
24;29
25;14
25;4
25;13
25;87
26;87
26;8
26;13
26;5
26;1
26;12
27;5
27;12
27;13
27;72
28;72
28;13
28;5
28;1
28;29
29;13
29;14
29;82
29;4
30;1
30;12
30;13
30;82
30;87
31;1
31;13
31;38
32;1
32;12
32;5
33;5
33;13
33;4
33;32
34;1
34;13
34;4
34;39
35;4
35;12
35;13
35;8
36;13
36;18
36;20
36;47
36;61
36;89
36;104
37;12
37;86
37;59
38;39
39;46
40;9
40;20
40;37
40;61
40;82
40;2
41;2
41;89
41;39
42;12
42;20
42;9
43;43
43;70
43;61
43;86
43;82
43;104
44;2
44;12
44;47
44;49
44;56
44;61
44;64
45;64
45;61
45;49
45;12
45;106
46;8
46;61
46;64
46;104
47;1
47;39
47;61
47;63
47;56
48;9
48;30
48;56
48;61
48;68
48;83
49;12
49;82
49;56
49;2
49;63
49;10
50;106
50;56
50;61
50;63
50;13
51;106
52;13
52;34
52;9
52;56
52;61
52;86
52;57
53;1
53;101
53;5
53;8
53;61
53;33
53;104
54;1
54;11
54;33
54;82
55;82
55;5
55;9
55;1
55;12
55;34
55;8
55;105
56;9
56;4
56;12
56;34
56;60
57;89
57;13
57;14
57;20
57;34
58;9
58;61
58;104
59;89
59;61
59;9
59;11
60;106
60;11
60;56
61;106
61;61
61;9
61;60
61;34
62;106
62;11
62;61
62;40
62;60
62;9
62;5
63;106
63;113
63;19
64;106
64;47
64;59
64;11
65;8
65;61
65;106
66;106
66;11
66;33
66;60
67;1
67;2
67;61
67;11
67;114
68;61
68;9
68;12
68;62
69;1
69;2
69;56
70;4
70;70
71;4
71;70
71;1
71;61
71;2
71;71
71;63
71;12
71;33
72;1
72;5
72;8
72;61
72;26
72;31
72;70
72;104
72;105
73;61
73;2
73;4
73;12
73;33
73;34
73;60
73;70
74;5
74;12
74;14
74;20
74;34
74;61
74;56
74;105
75;1
75;61
75;105
75;70
76;4
76;8
76;12
76;2
76;25
76;32
76;34
76;47
77;2
77;4
77;8
78;61
78;104
78;4
78;12
78;31
78;9
78;5
78;1
78;68
78;104
79;2
79;4
79;8
79;61
79;59
79;105
80;61
80;2
80;9
80;30
81;12
81;4
81;14
81;61
81;56
81;34
81;104
81;70
82;61
82;56
82;8
82;1
82;2
82;108
82;4
83;9
83;61
83;56
83;12
83;25
83;40
83;4
83;2
83;116
